3244207,00:00:00,ASCENT,0,,,,,-6.40,92.26,16215.14,-48.19,0.0,-0.773,-0.019,-0.536,-12.72,-8.79,9.26
3245207,00:00:00,ASCENT,0,,,,,-6.42,92.13,16222.56,-48.12,0.0,-0.724,-0.006,-0.626,-125.73,-9.76,-87.81
3246207,00:00:00,ASCENT,0,,,,,-6.42,92.08,16225.77,-48.12,0.0,-0.885,-0.060,-0.724,5.69,-19.24,17.25
3247207,00:00:00,ASCENT,0,,,,,-6.43,91.93,16234.36,-48.19,0.0,-0.909,-0.032,-0.702,-51.54,-20.24,-1.32
3248207,00:00:00,ASCENT,0,,,,,-6.45,91.78,16243.26,-48.19,0.0,-0.856,-0.035,-0.729,-76.98,-20.43,-44.58
3249207,00:00:00,ASCENT,0,,,,,-6.45,91.69,16248.57,-48.19,0.0,-0.746,-0.032,-0.581,3.68,-13.37,10.36
3250207,00:00:00,ASCENT,0,,,,,-6.46,91.57,16255.19,-48.19,0.0,-0.808,-0.025,-0.685,-86.24,-20.98,-48.40
3251207,00:00:00,ASCENT,0,,,,,-6.47,91.48,16260.44,-48.19,0.0,-0.884,-0.058,-0.737,-14.34,-19.29,3.21
3252207,00:00:00,ASCENT,0,,,,,-6.48,91.37,16266.70,-48.19,0.0,-0.834,-0.024,-0.653,-58.22,-17.74,-19.43
3253207,00:00:00,ASCENT,0,,,,,-6.49,91.28,16272.13,-48.12,0.0,-0.771,-0.042,-0.613,-55.50,-20.59,-35.49
3254207,00:00:00,ASCENT,0,,,,,-6.50,91.21,16276.58,-48.12,0.0,-0.729,-0.040,-0.585,-32.01,-10.91,-16.01
3255207,00:00:00,ASCENT,0,,,,,-6.50,91.12,16281.64,-48.12,0.0,-0.838,-0.042,-0.667,-38.46,-22.72,-13.02
3256207,00:00:00,ASCENT,0,,,,,-6.51,91.03,16286.73,-48.12,0.0,-0.802,-0.033,-0.602,-34.79,-14.60,-11.93
3257207,00:00:00,ASCENT,0,,,,,-6.53,90.92,16293.48,-48.06,0.0,-0.884,-0.032,-0.690,-63.54,-22.24,-32.86
3258207,00:00:00,ASCENT,0,,,,,-6.54,90.85,16297.66,-48.06,0.0,-0.849,-0.035,-0.666,-44.91,-24.79,-18.34
3259207,00:00:00,ASCENT,0,,,,,-6.55,90.72,16304.97,-48.06,0.0,-0.770,-0.022,-0.554,-26.50,-10.44,-3.98
3260207,00:00:00,ASCENT,0,,,,,-6.55,90.60,16311.99,-48.06,0.0,-0.718,-0.016,-0.504,-59.22,-11.60,-25.96
3261207,00:00:00,ASCENT,0,,,,,-6.56,90.50,16317.82,-48.06,0.0,-0.814,-0.020,-0.657,-87.69,-25.34,-58.32
3262207,00:00:00,ASCENT,0,,,,,-6.57,90.44,16321.84,-48.00,0.0,-0.817,-0.052,-0.627,9.78,-14.92,11.60
3263207,00:00:00,ASCENT,0,,,,,-6.59,90.37,16325.78,-48.00,0.0,-0.900,-0.032,-0.622,-23.35,-3.01,4.18
3264207,00:00:00,ASCENT,0,,,,,-6.59,90.23,16333.74,-48.00,0.0,-0.835,0.015,-0.734,-147.64,-14.93,-89.70
3265207,00:00:00,ASCENT,0,,,,,-6.60,90.09,16342.02,-48.00,0.0,-0.811,-0.067,-0.702,50.86,-20.59,31.73
3266207,00:00:00,ASCENT,0,,,,,-6.62,89.98,16348.95,-48.00,0.0,-0.641,-0.014,-0.360,-21.30,9.05,6.85
3267207,00:00:00,ASCENT,0,,,,,-6.64,89.86,16356.05,-48.00,0.0,-0.862,-0.017,-0.502,66.82,30.20,40.56
3268207,00:00:00,ASCENT,0,,,,,-6.65,89.77,16361.29,-48.00,0.0,-0.898,-0.009,-0.573,12.97,4.30,-12.40
